ID,LATITUDE,LONGTITUDE,RIVER,SMPDAT,YEAR,CLASS,DO,BOD,COD,SS,pH,AN,COND,SAL,DS,TS,TEMP,TUR,E-coli,Coliform,NO3,Cl,PO4,As,Hg,Cd,Cr,Pb,Zn,Ca,Fe,K,Mg,Na
68,2.5923,102.085316,LANGAT,2/8/2012,2012,IV,0.259,0.522,0.459,0.068,0.497,0.436,0.00543,0.004,0.004,0.01147,0.299,0.046,0.00905,0.000123404,0,0.00104,0.14343,0.19638,0.01593,0.0124,0.00166,0.04639,0.01683,0.00409,0.117,0.009,0.0004,0.002047627
69,2.5923,102.085316,LANGAT,3/9/2012,2012,III,0.596,0.087,0.082,0.011,0.584,0.192,0.00368,0.003,0.002,0.00325,0.357,0.025,0.00005,1.48E-06,0.007,0.00107,0.064,0.08217,0.01593,0.0124,0.03432,0.04639,0.0682,0.00295,0.317,0.009,0.00046,0.002197852
70,2.5924,102.052783,LANGAT,3/10/2012,2012,III,0.563,0.087,0.07,0.044,0.605,0.091,0.00285,0.002,0.002,0.00617,0.366,0.048,0.00019,1.33E-06,0.008,0.00107,0.00829,0.03679,0.01593,0.0124,0.00166,0.04639,0.05684,0.00294,0.059,0.007,0.00039,0.001250725
71,2.5924,102.052783,LANGAT,7/11/2012,2012,II,0.722,0.152,0.161,0.028,0.57,0.033,0.00171,0.001,0.001,0.00382,0.21,0.045,0.0006,2.81E-06,0.006,0.0003,0.00343,0.02951,0.01593,0.0124,0.00166,0.04639,0.07953,0.00191,0.193,0.005,0.00029,0.000700907
72,2.5924,102.052783,LANGAT,12/12/2012,2012,II,0.753,0.152,0.131,0.004,0.582,0.039,0.00165,0.001,0.001,0.001,0.219,0.058,0.00066,2.70E-06,0.006,0.00037,0.02714,0.01812,0.01593,0.0124,0.00166,0.04639,0.10147,0.00185,0,0.006,0.00027,0.000733918
73,2.5924,102.052783,LANGAT,9/1/2012,2012,I,0.732,0.022,0.015,0.001,0.598,0.005,0.00108,0.001,0,0.00041,0.343,0.01,0.00017,8.30E-07,0.003,0.00052,0.02171,0.01223,0.01593,0.0124,0.00166,0.04639,0.04779,0.00107,0.092,0.004,0.00023,0.000652545
74,2.5924,102.052783,LANGAT,13/3/2012,2012,I,0.627,0.022,0.015,0.007,0.538,0.006,0.00105,0.001,0,0.0009,0.293,0.02,0.00013,2.46E-06,0.004,0.00014,0,0.01849,0.01593,0.0124,0.00166,0.04639,0.018,0.00094,0.125,0.004,0.00024,0.000571537
75,2.5924,102.052783,LANGAT,3/5/2012,2012,II,0.693,0.152,0.137,0.023,0.484,0.01,0.00095,0.001,0,0.00267,0.224,0.062,0.00016,1.28E-06,0.006,0.00009,0.00057,0.01597,0.01593,0.0124,0.00166,0.04639,0.04625,0.00107,0.144,0.005,0.00018,0.000575306
76,2.590666,101.96595,LANGAT,5/7/2012,2012,II,0.685,0.065,0.112,0.005,0.589,0.008,0.001,0.001,0,0.00074,0.174,0.01,0.00016,2.31E-06,0.003,0.0003,0.002,0.02531,0.01593,0.0124,0.00166,0.04639,0.02503,0.00104,0.029,0.005,0.00021,0.000610714
77,2.590666,101.96595,LANGAT,3/9/2012,2012,I,0.68,0.022,0.021,0,0.601,0,0.00113,0.001,0.001,0.00033,0.274,0.005,0.00005,1.55E-06,0.006,0.00037,0.004,0.02773,0.01593,0.0124,0.00166,0.04639,0.02802,0.00091,0.132,0.004,0.00027,0.00085457
78,2.590666,101.96595,LANGAT,7/11/2012,2012,II,0.699,0.087,0.076,0.004,0.589,0.006,0.00098,0.001,0,0.00049,0.246,0.024,0.00012,1.09E-06,0.005,0.00022,0.00257,0.01606,0.01593,0.0124,0.00166,0.04639,0.04701,0.00088,0.159,0.004,0.00018,0.00046628
79,2.590666,101.96595,PAJAM,10/1/2012,2012,II,0.585,0.022,0.015,0.016,0.742,0.061,0.02561,0.021,0.02,0.02159,0.431,0.016,0.0003,1.20E-06,0.025,0.01786,0.03171,0.03773,0.01593,0.0124,0.00166,0.04639,0.04593,0.00628,0.191,0.029,0.00675,0.023219765
80,2.580816,101.95695,PAJAM,2/2/2012,2012,II,0.489,0.087,0.106,0.041,0.546,0.005,0.00407,0.003,0.003,0.00753,0.565,0.064,0.00029,2.04E-06,0.018,0.0008,0.02714,0.02512,0.01593,0.0124,0.00166,0.04639,0.03959,0.00427,0.161,0.015,0.00053,0.001657876
81,2.590666,101.96595,PAJAM,13/3/2012,2012,III,0.446,0.109,0.094,0.012,0.55,0.067,0.00376,0.003,0.002,0.0035,0.641,0.024,0.0001,4.22E-06,0.014,0.00068,0.02971,0.04071,0.01593,0.0124,0.00166,0.04639,0.03511,0.00386,0.319,0.013,0.00051,0.001345275
82,2.790833,102.00645,PAJAM,9/4/2012,2012,III,0.392,0.174,0.155,0.009,0.617,0.119,0.00436,0.003,0.003,0.00321,0.595,0.064,0.00009,3.55E-06,0.012,0.00073,0.04686,0.04632,0.01593,0.0124,0.00166,0.04639,0.05942,0.00347,0.277,0.016,0.00061,0.001725336
83,2.790833,102.00645,PAJAM,3/5/2012,2012,III,0.347,0.217,0.234,0.063,0.557,0.032,0.00394,0.003,0.003,0.0095,0.62,0.119,0.00234,0.00016383,0.014,0.00055,0.02343,0.01018,0.01593,0.0124,0.00166,0.04639,0.02587,0.00433,0.262,0.015,0.00055,0.001600657
84,2.790833,102.00645,PAJAM,11/6/2012,2012,III,0.5,0.239,0.119,0.032,0.546,0.081,0.00488,0.004,0.004,0.00695,0.734,0.064,0.00041,0.000003766,0.04,0.00077,0.02829,0.06042,0.01593,0.0124,0.00166,0.04639,0.05185,0.00533,0.342,0.016,0.0005,0.002314298
